Date, SOXL ,TNA,FAS,UPRO,NAIL
1/4/2010,0,11.54,10.82,2.2,0
1/5/2010,0,11.42,11.24,2.22,0
1/6/2010,0,11.4,11.31,2.22,0
1/7/2010,0,11.64,11.95,2.25,0
1/8/2010,0,11.83,11.8,2.27,0
1/11/2010,0,11.72,11.8,2.28,0
1/12/2010,0,11.3,11.33,2.22,0
1/13/2010,0,11.74,11.7,2.27,0
1/14/2010,0,11.87,11.86,2.29,0
1/15/2010,0,11.37,11.27,2.22,0
1/19/2010,0,11.98,11.64,2.3,0
1/20/2010,0,11.48,11.59,2.23,0
1/21/2010,0,10.88,10.74,2.1,0
1/22/2010,0,10.27,9.76,1.96,0
1/25/2010,0,10.34,9.88,1.99,0
1/26/2010,0,10.07,9.43,1.96,0
1/27/2010,0,10.36,10.02,1.99,0
1/28/2010,0,9.84,9.86,1.92,0
1/29/2010,0,9.51,9.64,1.86,0
2/1/2010,0,9.87,10.06,1.95,0
2/2/2010,0,10.18,10.34,2.02,0
2/3/2010,0,9.99,10.02,1.99,0
2/4/2010,0,9.01,8.83,1.81,0
2/5/2010,0,9.1,9.1,1.82,0
2/8/2010,0,8.85,8.59,1.78,0
2/9/2010,0,9.2,8.8,1.84,0
2/10/2010,0,9.25,9,1.83,0
2/11/2010,0,9.71,9.07,1.89,0
2/12/2010,0,9.93,9.09,1.88,0
2/16/2010,0,10.43,9.72,1.97,0
2/17/2010,0,10.66,9.82,2,0
2/18/2010,0,10.92,9.97,2.04,0
2/19/2010,0,10.97,10.09,2.05,0
2/22/2010,0,11.06,10.39,2.05,0
2/23/2010,0,10.68,9.91,1.97,0
2/24/2010,0,10.94,10.36,2.03,0
2/25/2010,0,10.95,10.28,2.02,0
2/26/2010,0,10.81,10.41,2.02,0
3/1/2010,0,11.56,10.53,2.09,0
3/2/2010,0,11.85,10.67,2.1,0
3/3/2010,0,12.04,10.65,2.11,0
3/4/2010,0,12.14,10.9,2.13,0
3/5/2010,0,12.88,11.57,2.22,0
3/8/2010,0,12.95,11.69,2.22,0
3/9/2010,0,13.1,11.78,2.23,0
3/10/2010,0,13.42,12.18,2.26,0
3/11/2010,0.66,13.55,12.47,2.29,0
3/12/2010,0.64,13.54,12.39,2.29,0
3/15/2010,0.62,13.41,12.38,2.29,0
3/16/2010,0.67,13.75,12.85,2.35,0
3/17/2010,0.7,14,13.28,2.39,0
3/18/2010,0.68,13.86,13.12,2.38,0
3/19/2010,0.65,13.31,12.82,2.35,0
3/22/2010,0.7,13.86,13.06,2.38,0
3/23/2010,0.74,14.4,13.27,2.44,0
3/24/2010,0.7,13.91,13.36,2.4,0
3/25/2010,0.7,13.64,13.5,2.39,0
3/26/2010,0.69,13.63,13.53,2.39,0
3/29/2010,0.71,13.85,13.61,2.43,0
3/30/2010,0.72,13.97,13.36,2.43,0
3/31/2010,0.71,13.65,13.4,2.41,0
4/1/2010,0.71,13.99,13.73,2.46,0
4/5/2010,0.77,14.79,14.2,2.52,0
4/6/2010,0.76,15.03,14.68,2.53,0
4/7/2010,0.77,14.9,14.44,2.49,0
4/8/2010,0.74,14.86,14.78,2.52,0
4/9/2010,0.76,15.08,14.98,2.57,0
4/12/2010,0.78,15.26,15.17,2.58,0
4/13/2010,0.79,15.37,15.22,2.59,0
4/14/2010,0.89,16.36,16.37,2.67,0
4/15/2010,0.9,16.52,16.19,2.68,0
4/16/2010,0.87,15.89,14.5,2.55,0
4/19/2010,0.84,15.67,14.87,2.58,0
4/20/2010,0.88,16.27,15.48,2.65,0
4/21/2010,0.85,16.63,15.29,2.63,0
4/22/2010,0.9,17.16,15.65,2.66,0
4/23/2010,0.91,17.7,15.82,2.71,0
4/26/2010,0.91,17.48,15.07,2.68,0
4/27/2010,0.82,16.29,13.63,2.49,0
4/28/2010,0.84,16.36,14.16,2.54,0
4/29/2010,0.86,17.38,15.07,2.64,0
4/30/2010,0.75,15.86,14.02,2.5,0
5/3/2010,0.8,16.92,14.7,2.61,0
5/4/2010,0.7,15.32,13.59,2.42,0
5/5/2010,0.67,14.64,13.35,2.38,0
5/6/2010,0.62,13.03,11.74,2.14,0
5/7/2010,0.58,11.91,11.27,2.05,0
5/10/2010,0.68,13.92,13.03,2.31,0
5/11/2010,0.67,14.17,12.9,2.29,0
5/12/2010,0.72,15.48,13.36,2.39,0
5/13/2010,0.66,15.03,12.78,2.3,0
5/14/2010,0.6,14.16,11.67,2.18,0
5/17/2010,0.63,14.23,11.67,2.18,0
5/18/2010,0.58,13.5,10.64,2.09,0
5/19/2010,0.59,12.96,10.66,2.05,0
5/20/2010,0.54,11,9.25,1.82,0
5/21/2010,0.57,11.46,10.19,1.88,0
5/24/2010,0.54,11.01,9.42,1.83,0
5/25/2010,0.55,10.99,9.58,1.83,0
5/26/2010,0.55,11.05,9.44,1.79,0
5/27/2010,0.63,12.49,10.65,1.98,0
5/28/2010,0.6,12.01,10.06,1.9,0
6/1/2010,0.56,10.91,9.42,1.81,0
6/2/2010,0.62,11.85,10.18,1.95,0
6/3/2010,0.65,12.28,10.07,1.97,0
6/4/2010,0.56,10.47,8.86,1.77,0
6/7/2010,0.5,9.67,8.4,1.7,0
6/8/2010,0.49,9.61,8.78,1.74,0
6/9/2010,0.48,9.64,8.6,1.72,0
6/10/2010,0.54,10.65,9.42,1.87,0
6/11/2010,0.56,11.08,9.51,1.9,0
6/14/2010,0.57,11.28,9.37,1.89,0
6/15/2010,0.67,12.1,10.02,2.02,0
6/16/2010,0.67,11.98,10.01,2.02,0
6/17/2010,0.67,12.01,9.97,2.03,0
6/18/2010,0.67,12.05,10.08,2.03,0
6/21/2010,0.65,11.68,10.04,2.01,0
6/22/2010,0.61,10.96,9.54,1.91,0
6/23/2010,0.62,10.83,9.43,1.89,0
6/24/2010,0.57,10.34,8.86,1.8,0
6/25/2010,0.57,10.86,9.5,1.84,0
6/28/2010,0.57,10.66,9.25,1.8,0
6/29/2010,0.5,9.44,8.26,1.64,0
6/30/2010,0.47,9.12,7.95,1.58,0
7/1/2010,0.47,8.91,7.8,1.57,0
7/2/2010,0.47,8.64,7.57,1.55,0
7/6/2010,0.47,8.3,7.63,1.57,0
7/7/2010,0.54,9.13,8.57,1.72,0
7/8/2010,0.54,9.53,8.77,1.77,0
7/9/2010,0.55,9.96,9.19,1.81,0
7/12/2010,0.58,9.66,9.17,1.82,0
7/13/2010,0.61,10.54,9.82,1.9,0
7/14/2010,0.61,10.43,9.61,1.9,0
7/15/2010,0.6,10.16,9.56,1.9,0
7/16/2010,0.54,9.06,8.39,1.74,0
7/19/2010,0.58,9.14,8.38,1.78,0
7/20/2010,0.59,9.6,8.68,1.83,0
7/21/2010,0.55,9.11,8.25,1.76,0
7/22/2010,0.6,10.07,8.95,1.88,0
7/23/2010,0.61,10.81,9.16,1.93,0
7/26/2010,0.63,11.56,9.56,1.99,0
7/27/2010,0.62,11.41,9.63,1.99,0
7/28/2010,0.59,10.86,9.38,1.95,0
7/29/2010,0.55,10.77,9.42,1.92,0
7/30/2010,0.54,10.81,9.42,1.92,0
8/2/2010,0.56,11.33,10.05,2.05,0
8/3/2010,0.55,11.08,9.78,2.02,0
8/4/2010,0.56,11.42,9.87,2.06,0
8/5/2010,0.55,11.03,9.72,2.05,0
8/6/2010,0.55,10.84,9.57,2.03,0
8/9/2010,0.56,11.2,9.72,2.06,0
8/10/2010,0.52,10.59,9.47,2.03,0
8/11/2010,0.45,9.35,8.52,1.86,0
8/12/2010,0.44,9.18,8.34,1.83,0
8/13/2010,0.42,8.87,8.29,1.81,0
8/16/2010,0.43,9.09,8.24,1.81,0
8/17/2010,0.44,9.56,8.43,1.87,0
8/18/2010,0.46,9.63,8.53,1.88,0
8/19/2010,0.43,8.88,7.99,1.79,0
8/20/2010,0.44,8.87,7.91,1.77,0
8/23/2010,0.42,8.52,7.77,1.75,0
8/24/2010,0.4,8.23,7.41,1.67,0
8/25/2010,0.42,8.6,7.49,1.68,0
8/26/2010,0.39,8.4,7.32,1.65,0
8/27/2010,0.41,9.07,7.77,1.73,0
8/30/2010,0.38,8.47,7.33,1.65,0
8/31/2010,0.36,8.44,7.46,1.66,0
9/1/2010,0.39,9.37,8.27,1.8,0
9/2/2010,0.42,9.69,8.5,1.85,0
9/3/2010,0.44,10.19,9.01,1.92,0
9/7/2010,0.41,9.63,8.44,1.86,0
9/8/2010,0.41,9.8,8.64,1.9,0
9/9/2010,0.41,9.83,8.88,1.93,0
9/10/2010,0.39,9.91,8.93,1.96,0
9/13/2010,0.43,10.62,9.46,2.02,0
9/14/2010,0.45,10.5,9.28,2.01,0
9/15/2010,0.45,10.71,9.39,2.04,0
9/16/2010,0.46,10.47,9.3,2.04,0
9/17/2010,0.46,10.6,9.22,2.04,0
9/20/2010,0.47,11.5,9.74,2.14,0
9/21/2010,0.46,11.28,9.5,2.12,0
9/22/2010,0.44,10.87,9.08,2.09,0
9/23/2010,0.45,10.49,8.61,2.04,0
9/24/2010,0.51,11.51,9.24,2.16,0
9/27/2010,0.5,11.43,9,2.13,0
9/28/2010,0.52,11.75,9.06,2.15,0
9/29/2010,0.53,11.88,8.9,2.14,0
9/30/2010,0.52,11.77,8.89,2.12,0
10/1/2010,0.51,11.96,9.09,2.15,0
10/4/2010,0.49,11.48,8.93,2.1,0
10/5/2010,0.52,12.44,9.48,2.23,0
10/6/2010,0.49,12.21,9.42,2.21,0
10/7/2010,0.51,12.23,9.35,2.22,0
10/8/2010,0.52,12.69,9.41,2.25,0
